                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0131,                 3.9657,                 1.6963,                      0,                      0,                      0,                      0,                 1.9275,                  3.749,                 1.5462,             0.00032895,             0.00032895,             0.00032895
                      2,                 1.9264,                 2.8959,                 1.6243,                0.28767,                0.47782,                0.31922,                 0.1405,                 1.9963,                 4.6876,                 1.7075,             0.00065604,             0.00065604,             0.00065604
                      3,                 1.9184,                 2.7163,                 1.6548,                0.47413,                0.49323,                0.47495,                0.22872,                 2.0943,                 3.2698,                 1.7271,             0.00097684,             0.00097684,             0.00097684
                      4,                 1.9296,                  2.518,                  1.656,                0.43144,                0.45957,                0.43105,                0.18883,                 2.2251,                 2.7025,                 1.8204,             0.00097171,             0.00097171,             0.00097171
                      5,                 1.9382,                 2.2759,                 1.6465,                0.48189,                0.45864,                0.44747,                0.20103,                 2.1188,                 2.2363,                 1.6781,             0.00097171,             0.00097171,             0.00097171
                      6,                 1.8949,                 2.2119,                 1.5991,                0.67761,                 0.3221,                0.45491,                0.20992,                 2.1672,                 2.2821,                 1.7283,             0.00096229,             0.00096229,             0.00096229
                      7,                 1.8531,                 2.0202,                 1.5838,                 0.3271,                0.43986,                0.39708,                0.18669,                  1.964,                 2.4732,                 1.6561,             0.00095286,             0.00095286,             0.00095286
                      8,                 1.8351,                 1.9671,                 1.5766,                0.62344,                0.58254,                0.62954,                0.29534,                 2.0263,                 1.8838,                 1.7055,             0.00094343,             0.00094343,             0.00094343
                      9,                 1.7946,                 1.8891,                 1.5499,                0.56746,                0.57995,                0.64224,                0.33289,                  2.084,                 1.8532,                 1.6356,               0.000934,               0.000934,               0.000934
                     10,                 1.8011,                  1.835,                 1.5502,                0.39421,                0.54883,                0.48924,                0.23667,                 2.0765,                 2.5665,                 1.6221,             0.00092457,             0.00092457,             0.00092457
                     11,                 1.7669,                 1.7386,                 1.5295,                 0.6659,                 0.5024,                 0.6402,                0.35627,                  1.968,                 1.9069,                 1.5543,             0.00091514,             0.00091514,             0.00091514
                     12,                 1.7447,                 1.6941,                 1.4994,                0.61192,                0.61403,                0.62206,                0.35389,                 2.0343,                 1.8519,                 1.6697,             0.00090571,             0.00090571,             0.00090571
                     13,                 1.7489,                 1.6337,                 1.5174,                0.66141,                0.55038,                0.67123,                0.38195,                 1.8694,                 1.7476,                 1.5529,             0.00089629,             0.00089629,             0.00089629
                     14,                 1.6965,                 1.6217,                 1.4657,                0.55591,                0.34274,                0.39984,                0.18247,                 2.1039,                 2.0088,                  1.668,             0.00088686,             0.00088686,             0.00088686
                     15,                 1.6858,                 1.5878,                 1.4756,                0.67152,                0.65812,                0.73548,                0.41517,                 1.9555,                 1.5956,                 1.5707,             0.00087743,             0.00087743,             0.00087743
                     16,                 1.7079,                 1.5587,                 1.4762,                0.71404,                0.64669,                0.71891,                0.41265,                 1.8507,                 1.6128,                 1.5041,               0.000868,               0.000868,               0.000868
                     17,                 1.6846,                 1.4924,                 1.4689,                0.61929,                0.68329,                0.71983,                0.39091,                 1.9071,                 1.6127,                 1.5512,             0.00085857,             0.00085857,             0.00085857
                     18,                 1.6484,                 1.4635,                 1.4343,                0.45964,                0.51117,                0.52242,                0.29237,                 1.9799,                 2.3516,                 1.6053,             0.00084914,             0.00084914,             0.00084914
                     19,                 1.6604,                  1.495,                  1.451,                0.70401,                 0.6957,                0.75199,                0.43133,                 1.9178,                 1.5581,                 1.5738,             0.00083971,             0.00083971,             0.00083971
                     20,                 1.6337,                  1.428,                 1.4235,                0.71644,                0.57058,                0.66949,                0.40338,                 1.9487,                 1.5763,                 1.5256,             0.00083029,             0.00083029,             0.00083029
                     21,                 1.6068,                 1.3563,                  1.426,                0.66789,                0.67904,                0.71462,                 0.4312,                 1.8212,                 1.5057,                 1.5294,             0.00082086,             0.00082086,             0.00082086
                     22,                 1.6053,                 1.3968,                 1.4311,                0.83832,                0.66727,                0.79054,                 0.4489,                 1.9083,                 1.5179,                 1.5358,             0.00081143,             0.00081143,             0.00081143
                     23,                 1.5761,                 1.3662,                 1.3997,                0.78254,                0.59514,                0.68245,                0.41245,                 1.9477,                 1.5379,                  1.544,               0.000802,               0.000802,               0.000802
                     24,                 1.5956,                 1.4255,                 1.4112,                0.74571,                0.63244,                0.70898,                0.39074,                 1.9522,                 1.5454,                 1.5402,             0.00079257,             0.00079257,             0.00079257
                     25,                 1.5366,                 1.2884,                 1.3764,                0.68033,                0.64566,                0.73983,                0.35969,                 2.1028,                 1.7933,                  1.621,             0.00078314,             0.00078314,             0.00078314
                     26,                 1.5522,                 1.3028,                 1.4003,                0.77259,                  0.605,                0.70977,                0.44421,                 1.8372,                 1.3496,                  1.515,             0.00077371,             0.00077371,             0.00077371
                     27,                 1.5758,                 1.3211,                 1.3984,                0.69058,                 0.5855,                0.60426,                0.33198,                  2.035,                 1.7735,                 1.5764,             0.00076429,             0.00076429,             0.00076429
                     28,                  1.522,                 1.2521,                  1.359,                0.72829,                0.66895,                0.75812,                0.46767,                 1.8646,                 1.4431,                 1.4627,             0.00075486,             0.00075486,             0.00075486
                     29,                 1.5304,                 1.2873,                 1.3885,                0.48736,                0.63902,                0.63828,                0.38256,                 1.7938,                 1.6283,                 1.4731,             0.00074543,             0.00074543,             0.00074543
                     30,                 1.5466,                 1.2343,                 1.3671,                0.73054,                0.66499,                 0.6984,                0.43789,                 1.7633,                 1.4745,                 1.4723,               0.000736,               0.000736,               0.000736
                     31,                 1.5541,                 1.2277,                 1.3744,                0.76102,                 0.6555,                0.74178,                0.42782,                 1.8659,                 1.4569,                  1.504,             0.00072657,             0.00072657,             0.00072657
                     32,                 1.5028,                 1.2057,                 1.3675,                0.71753,                0.63403,                0.72057,                0.44285,                 1.8656,                 1.4445,                 1.4824,             0.00071714,             0.00071714,             0.00071714
                     33,                 1.4831,                 1.2038,                 1.3508,                0.69907,                0.60315,                0.67791,                0.39253,                 1.9077,                 1.6128,                 1.4885,             0.00070771,             0.00070771,             0.00070771
                     34,                 1.5224,                 1.1802,                 1.3264,                0.74018,                0.66765,                0.72426,                0.42168,                  1.922,                 1.5392,                 1.5316,             0.00069829,             0.00069829,             0.00069829
                     35,                 1.4871,                 1.1846,                 1.3352,                0.80351,                0.62235,                0.72799,                0.44802,                 1.9002,                 1.4605,                 1.5123,             0.00068886,             0.00068886,             0.00068886
                     36,                 1.4736,                 1.1442,                  1.327,                0.79237,                0.72638,                 0.7865,                0.45672,                 1.9029,                 1.3959,                 1.4797,             0.00067943,             0.00067943,             0.00067943
                     37,                  1.431,                 1.1292,                 1.3263,                0.81543,                0.63334,                0.72153,                0.45549,                 1.9187,                 1.4421,                  1.592,                0.00067,                0.00067,                0.00067
                     38,                 1.4575,                 1.1825,                 1.3149,                0.74453,                0.66471,                0.74383,                0.44088,                 1.8667,                 1.5114,                 1.4853,             0.00066057,             0.00066057,             0.00066057
                     39,                 1.4244,                 1.1079,                  1.303,                0.63853,                0.68878,                0.71608,                0.41964,                 1.8732,                 1.5009,                 1.5596,             0.00065114,             0.00065114,             0.00065114
                     40,                 1.4397,                 1.1166,                 1.3122,                0.72858,                0.65052,                0.75057,                0.49494,                 1.8279,                 1.4076,                 1.5085,             0.00064171,             0.00064171,             0.00064171
                     41,                 1.4465,                 1.1376,                  1.312,                 0.7422,                0.67115,                0.76228,                0.46939,                 1.8804,                 1.3756,                 1.5359,             0.00063229,             0.00063229,             0.00063229
                     42,                 1.4372,                 1.1086,                  1.308,                0.78501,                0.71052,                0.77354,                0.41906,                 1.9344,                 1.2938,                 1.5371,             0.00062286,             0.00062286,             0.00062286
                     43,                  1.429,                 1.0767,                 1.3039,                0.81975,                0.71265,                0.76969,                0.44945,                 1.8933,                  1.368,                 1.4894,             0.00061343,             0.00061343,             0.00061343
                     44,                 1.4046,                 1.0877,                 1.3001,                0.73775,                0.65677,                0.71707,                0.46113,                 1.8871,                 1.4212,                 1.5527,               0.000604,               0.000604,               0.000604
                     45,                  1.428,                 1.0587,                 1.3131,                0.60766,                0.52276,                0.62882,                0.37513,                  2.079,                 1.7629,                 1.6227,             0.00059457,             0.00059457,             0.00059457
                     46,                 1.4032,                 1.0652,                 1.3015,                0.69109,                0.69991,                 0.7466,                  0.467,                 1.8264,                 1.3594,                 1.5055,             0.00058514,             0.00058514,             0.00058514
                     47,                 1.3796,                 1.0358,                 1.3031,                0.81161,                 0.6937,                  0.752,                0.45145,                 1.8474,                 1.2893,                 1.5472,             0.00057571,             0.00057571,             0.00057571
                     48,                 1.3804,                 1.0633,                 1.2913,                0.66995,                0.64804,                0.73124,                0.43888,                 1.9232,                 1.5354,                 1.5527,             0.00056629,             0.00056629,             0.00056629
                     49,                 1.3765,                 1.0737,                 1.2782,                0.77903,                0.67683,                0.75311,                0.46297,                 1.7894,                 1.2862,                 1.4667,             0.00055686,             0.00055686,             0.00055686
                     50,                 1.3683,                0.99832,                 1.2633,                0.85124,                0.68097,                0.78108,                0.42365,                 1.9416,                  1.426,                 1.5303,             0.00054743,             0.00054743,             0.00054743
                     51,                 1.3174,                0.96697,                 1.2457,                0.85123,                0.64272,                0.77365,                0.47247,                 1.8299,                 1.3332,                 1.4659,               0.000538,               0.000538,               0.000538
                     52,                 1.3699,                 1.0185,                 1.2735,                0.78767,                0.64398,                0.72387,                0.44169,                 1.8719,                 1.3596,                 1.4803,             0.00052857,             0.00052857,             0.00052857
                     53,                  1.338,                 1.0018,                 1.2506,                0.87216,                0.70037,                0.78982,                0.47652,                 1.8593,                 1.3792,                 1.4836,             0.00051914,             0.00051914,             0.00051914
                     54,                 1.3524,                0.98521,                 1.2632,                0.84349,                0.71287,                0.78452,                0.46216,                 1.8321,                 1.2121,                 1.5458,             0.00050971,             0.00050971,             0.00050971
                     55,                 1.3449,                0.97617,                 1.2599,                0.69243,                0.70126,                0.72309,                0.41844,                 2.0084,                 1.3883,                  1.628,             0.00050029,             0.00050029,             0.00050029
                     56,                  1.319,                0.95492,                 1.2459,                0.80899,                0.65143,                 0.7474,                0.47246,                 1.8228,                 1.3509,                 1.5325,             0.00049086,             0.00049086,             0.00049086
                     57,                 1.2832,                0.93212,                 1.2321,                 0.7414,                0.66044,                0.72426,                0.44191,                 1.9403,                 1.4321,                 1.5853,             0.00048143,             0.00048143,             0.00048143
                     58,                 1.3058,                0.95756,                   1.24,                0.85989,                0.74113,                0.80559,                0.44965,                 1.9171,                 1.3763,                 1.4656,               0.000472,               0.000472,               0.000472
                     59,                 1.3031,                0.91902,                 1.2323,                0.76161,                0.66953,                0.75576,                0.42589,                 1.8794,                 1.2215,                 1.5409,             0.00046257,             0.00046257,             0.00046257
                     60,                 1.2937,                0.92168,                 1.2395,                0.77433,                0.62053,                0.76776,                0.43831,                 2.0035,                 1.3676,                 1.5867,             0.00045314,             0.00045314,             0.00045314
                     61,                 1.3058,                0.92744,                 1.2265,                0.80617,                0.71363,                0.76937,                0.44382,                 1.8892,                 1.2821,                 1.5312,             0.00044371,             0.00044371,             0.00044371
                     62,                 1.2915,                0.90649,                 1.2219,                0.77828,                0.71793,                 0.7626,                0.47996,                 1.8309,                 1.3288,                  1.456,             0.00043429,             0.00043429,             0.00043429
                     63,                 1.2829,                0.89668,                 1.2107,                0.79583,                0.73193,                0.76903,                0.46198,                 1.8126,                 1.3521,                 1.5399,             0.00042486,             0.00042486,             0.00042486
                     64,                 1.2579,                0.89219,                 1.2174,                0.80325,                0.67605,                0.77341,                0.48855,                  1.753,                 1.3007,                 1.4246,             0.00041543,             0.00041543,             0.00041543
                     65,                 1.2896,                 0.9166,                 1.2378,                0.76187,                0.67675,                0.73139,                0.44231,                  1.842,                 1.2714,                 1.4944,               0.000406,               0.000406,               0.000406
                     66,                 1.2663,                0.89714,                 1.2196,                0.84007,                0.72638,                0.80107,                0.48803,                 1.7813,                 1.1761,                 1.4608,             0.00039657,             0.00039657,             0.00039657
                     67,                 1.2777,                0.92288,                  1.232,                0.83168,                0.64775,                0.75945,                0.48291,                 1.8311,                  1.279,                 1.4863,             0.00038714,             0.00038714,             0.00038714
                     68,                 1.2674,                0.89331,                   1.22,                0.81145,                0.74595,                0.80165,                0.48452,                  1.789,                 1.1749,                 1.4744,             0.00037771,             0.00037771,             0.00037771
                     69,                 1.2393,                0.88075,                  1.197,                0.80879,                0.69276,                0.77026,                0.43955,                 1.7898,                 1.2569,                 1.4535,             0.00036829,             0.00036829,             0.00036829
                     70,                 1.2731,                0.87755,                  1.223,                0.76334,                0.71527,                0.75919,                   0.45,                 1.8236,                 1.3083,                 1.4625,             0.00035886,             0.00035886,             0.00035886
                     71,                 1.2325,                0.87887,                 1.2004,                 0.7818,                0.69276,                0.78101,                0.49128,                 1.7409,                 1.2834,                 1.3793,             0.00034943,             0.00034943,             0.00034943
                     72,                 1.2085,                0.86669,                 1.1932,                0.80081,                0.69834,                0.79249,                0.49175,                  1.723,                 1.2428,                 1.3753,                0.00034,                0.00034,                0.00034
                     73,                 1.2301,                0.87856,                 1.2131,                0.84958,                0.71419,                0.80181,                0.49635,                  1.751,                 1.2471,                 1.4031,             0.00033057,             0.00033057,             0.00033057
                     74,                 1.2215,                0.84249,                 1.1913,                0.81866,                0.68165,                0.74884,                0.47566,                 1.8452,                  1.249,                  1.458,             0.00032114,             0.00032114,             0.00032114
                     75,                 1.2163,                0.85492,                 1.1813,                0.74572,                0.71503,                0.76492,                0.47217,                 1.8449,                  1.175,                 1.4893,             0.00031171,             0.00031171,             0.00031171
                     76,                 1.1927,                0.83967,                 1.1847,                0.79777,                 0.6833,                0.75705,                0.46618,                 1.7657,                 1.1555,                 1.4128,             0.00030229,             0.00030229,             0.00030229
                     77,                 1.2076,                 0.8328,                 1.1854,                0.75899,                0.71237,                0.75246,                0.45894,                 1.8582,                 1.3383,                 1.4991,             0.00029286,             0.00029286,             0.00029286
                     78,                 1.1962,                0.83494,                 1.1726,                0.77461,                0.72675,                  0.754,                 0.4715,                 1.8309,                 1.2921,                 1.4717,             0.00028343,             0.00028343,             0.00028343
                     79,                  1.183,                0.83064,                 1.1779,                0.79497,                0.69302,                0.74616,                0.46374,                 1.8102,                 1.2297,                 1.4285,               0.000274,               0.000274,               0.000274
                     80,                 1.1782,                 0.8066,                 1.1707,                0.91753,                0.71989,                0.82303,                0.49207,                  1.771,                  1.274,                 1.4612,             0.00026457,             0.00026457,             0.00026457
                     81,                 1.1755,                0.82704,                 1.1751,                  0.795,                0.64514,                 0.7433,                0.48435,                  1.805,                 1.3642,                 1.4636,             0.00025514,             0.00025514,             0.00025514
                     82,                 1.1907,                0.84669,                 1.1851,                0.74749,                0.70257,                0.73658,                0.45879,                 1.8405,                 1.2769,                 1.4633,             0.00024571,             0.00024571,             0.00024571
                     83,                 1.1669,                0.79465,                 1.1599,                0.81055,                0.71964,                0.77158,                0.49126,                 1.7716,                 1.3053,                   1.42,             0.00023629,             0.00023629,             0.00023629
                     84,                 1.1603,                0.80849,                 1.1678,                0.78457,                0.65784,                0.71027,                 0.4642,                 1.8067,                 1.2586,                  1.454,             0.00022686,             0.00022686,             0.00022686
                     85,                 1.1549,                 0.7906,                 1.1535,                0.86387,                0.70079,                0.76675,                0.47096,                  1.791,                 1.3213,                 1.4341,             0.00021743,             0.00021743,             0.00021743
                     86,                 1.1356,                0.77715,                 1.1479,                0.82619,                0.68719,                0.75654,                0.46973,                 1.8054,                 1.2299,                 1.4444,               0.000208,               0.000208,               0.000208
                     87,                 1.1446,                0.79391,                 1.1584,                0.83355,                0.68611,                0.77367,                 0.4833,                 1.8175,                 1.2231,                 1.4654,             0.00019857,             0.00019857,             0.00019857
                     88,                 1.1423,                0.79834,                 1.1642,                0.80855,                0.69276,                 0.7589,                0.47694,                 1.8062,                 1.2611,                  1.428,             0.00018914,             0.00018914,             0.00018914
                     89,                 1.1631,                0.79022,                 1.1515,                0.79503,                0.64126,                0.73947,                0.47739,                 1.8121,                 1.3133,                  1.424,             0.00017971,             0.00017971,             0.00017971
                     90,                 1.1094,                0.76885,                 1.1317,                0.80235,                0.71223,                0.76021,                0.47868,                 1.8499,                 1.3164,                 1.4631,             0.00017029,             0.00017029,             0.00017029
                     91,                 1.0991,                  0.773,                 1.1393,                0.78188,                0.68856,                 0.7433,                0.44791,                 1.8279,                 1.2725,                 1.4732,             0.00016086,             0.00016086,             0.00016086
                     92,                 1.1038,                 0.7451,                 1.1381,                 0.7811,                0.64514,                0.73127,                0.46834,                 1.7809,                  1.163,                 1.4266,             0.00015143,             0.00015143,             0.00015143
                     93,                 1.1255,                 0.7577,                 1.1352,                0.78656,                0.64231,                0.72238,                0.46337,                 1.8202,                 1.2053,                 1.4253,               0.000142,               0.000142,               0.000142
                     94,                 1.0865,                0.77355,                 1.1366,                0.78029,                0.66385,                0.74001,                0.46962,                 1.8257,                 1.2428,                 1.4189,             0.00013257,             0.00013257,             0.00013257
                     95,                 1.0925,                0.75859,                   1.13,                0.76272,                0.65495,                0.72517,                0.46569,                 1.7864,                 1.2112,                 1.4018,             0.00012314,             0.00012314,             0.00012314
                     96,                 1.1861,                0.73129,                 1.1716,                0.83301,                0.66259,                0.72207,                0.45832,                 1.7909,                  1.279,                 1.4284,             0.00011371,             0.00011371,             0.00011371
                     97,                 1.1406,                0.71132,                   1.14,                0.82047,                0.69609,                 0.7619,                0.46575,                 1.8194,                 1.1951,                 1.4349,             0.00010429,             0.00010429,             0.00010429
                     98,                 1.1284,                0.69456,                 1.1375,                  0.758,                0.69314,                0.74325,                0.46569,                  1.795,                 1.2983,                 1.4576,             9.4857e-05,             9.4857e-05,             9.4857e-05
                     99,                 1.1219,                0.67952,                 1.1305,                0.76224,                0.70817,                0.74015,                0.48147,                 1.8067,                 1.2492,                 1.4543,             8.5429e-05,             8.5429e-05,             8.5429e-05
                    100,                 1.1078,                0.68242,                 1.1099,                0.77422,                0.70893,                0.74503,                  0.464,                 1.8338,                 1.2963,                 1.5117,                7.6e-05,                7.6e-05,                7.6e-05
                    101,                 1.0836,                0.66781,                 1.1082,                0.78567,                0.71026,                0.74965,                0.47081,                  1.838,                 1.2665,                 1.5042,             6.6571e-05,             6.6571e-05,             6.6571e-05
                    102,                 1.1007,                0.68065,                 1.1212,                0.76869,                0.70577,                0.74944,                0.46737,                 1.8142,                 1.3451,                 1.4702,             5.7143e-05,             5.7143e-05,             5.7143e-05
                    103,                 1.0918,                0.66574,                 1.1128,                0.78869,                0.71031,                0.75469,                0.47543,                 1.8416,                 1.3227,                 1.4745,             4.7714e-05,             4.7714e-05,             4.7714e-05
                    104,                 1.0748,                 0.6679,                 1.1021,                0.73945,                0.71237,                0.73876,                0.46495,                 1.8113,                 1.3249,                 1.4591,             3.8286e-05,             3.8286e-05,             3.8286e-05
                    105,                 1.0793,                0.65609,                  1.104,                0.77133,                0.69103,                0.73216,                0.46744,                 1.8204,                 1.3125,                 1.4803,             2.8857e-05,             2.8857e-05,             2.8857e-05
